,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
443,20MICRONS,EQ,39.45,40.4,38.65,39.2,39.05,39.25,133495,5232193.95,22-08-2016,635,INE144J01027
444,20MICRONS,EQ,27.7,28.3,27.05,27.75,27.8,27.3,34694,963665.9,01-02-2016,124,INE144J01027
445,20MICRONS,EQ,30.1,30.15,29.1,29.3,29.8,30.15,31393,921068.55,29-07-2016,167,INE144J01027
446,20MICRONS,EQ,40.3,42.75,40.3,41.75,41.7,40.65,602518,25073969.75,01-11-2016,2324,INE144J01027
447,20MICRONS,EQ,28.75,29.3,28.35,28.65,28.6,28.7,26257,755073.75,14-06-2016,218,INE144J01027
448,20MICRONS,EQ,28.5,29,28.4,28.5,28.55,28.55,37348,1073029.7,01-06-2016,119,INE144J01027
449,20MICRONS,EQ,36.6,36.9,36,36.2,36.25,36.7,103789,3784144,04-10-2016,409,INE144J01027
450,20MICRONS,EQ,29.05,29.3,28.4,28.85,28.8,28.95,15361,444249.25,26-07-2016,106,INE144J01027
451,20MICRONS,EQ,36.45,36.7,35.4,35.55,35.5,35.9,74075,2653403.85,05-01-2016,292,INE144J01027
452,20MICRONS,EQ,34.5,36.9,34.5,36.45,36.8,35.15,68543,2466117.75,30-09-2016,520,INE144J01027
453,20MICRONS,EQ,31.8,35.9,31.2,35,35,31.25,396181,13824951.7,13-04-2016,1967,INE144J01027
454,20MICRONS,EQ,28.5,30.6,28.5,29.95,30,28.9,21527,640111.55,06-04-2016,219,INE144J01027
455,20MICRONS,EQ,29.8,31,27.7,28.1,27.9,31,64843,1905030.55,18-01-2016,556,INE144J01027
456,20MICRONS,EQ,28.25,28.95,27.55,28.35,28.6,28.4,11945,341984.4,06-06-2016,165,INE144J01027
457,20MICRONS,EQ,28.75,28.75,28.05,28.7,28.75,28.4,25354,721516.3,13-06-2016,59,INE144J01027
458,20MICRONS,EQ,38.8,41,38.1,39,39.1,38.55,310553,12328025.9,19-10-2016,1088,INE144J01027
459,20MICRONS,EQ,39.5,39.7,38.4,38.6,38.5,39.35,78670,3074000,25-08-2016,408,INE144J01027
460,20MICRONS,EQ,38.4,38.45,37.65,38.05,38.3,37.7,58395,2219201.4,30-08-2016,298,INE144J01027
461,20MICRONS,EQ,35.5,35.5,34.65,35,34.8,35,14932,522415.15,16-12-2016,102,INE144J01027
462,20MICRONS,EQ,32.1,32.6,31.75,31.8,31.95,32.6,8905,285768.95,20-05-2016,115,INE144J01027
463,20MICRONS,EQ,28.8,30.05,27.2,29.2,29.2,28.1,48353,1410071.2,19-01-2016,296,INE144J01027
464,20MICRONS,EQ,29.4,35.3,29.4,32.75,32.8,29.95,146241,4884578.35,07-04-2016,1074,INE144J01027
465,20MICRONS,EQ,32,32,31.1,31.25,31.45,31.65,14816,465688.1,12-04-2016,132,INE144J01027
466,20MICRONS,EQ,35,35.25,34.1,34.25,34.1,35.4,32885,1138858.5,02-12-2016,218,INE144J01027
